from_node, to_node
287, 908
475, 733
707, 970
424, 669
20, 725
20, 907
89, 963
300, 369
549, 848
527, 801
570, 641
282, 358
109, 674
205, 874
124, 850
304, 858
816, 997
193, 428
45, 890
858, 940
188, 26
172, 599
273, 960
572, 7
564, 692
661, 903
226, 583
129, 621
248, 305
24, 980
439, 513
138, 894
225, 383
651, 748
929, 970
149, 982
313, 385
601, 754
467, 747
223, 273
386, 5
560, 733
362, 756
332, 537
433, 81
453, 858
227, 985
372, 605
546, 720
361, 703
318, 397
498, 640
689, 907
182, 707
356, 409
466, 958
517, 579
329, 59
245, 917
439, 891
7, 787
635, 646
169, 527
734, 820
453, 856
37, 62
779, 899
109, 828
451, 563
297, 362
538, 972
388, 487
432, 768
701, 966
337, 6
594, 801
392, 558
529, 854
180, 637
427, 833
375, 502
464, 874
374, 608
227, 464
684, 937
483, 49
139, 745
682, 901
447, 573
724, 85
1000, 949
76, 86
403, 950
622, 873
459, 6
320, 996
148, 600
390, 869
222, 483
313, 886
610, 930
508, 841
361, 450
129, 391
129, 521
833, 840
833, 912
393, 51
233, 603
491, 564
817, 957
198, 979
373, 58
168, 234
175, 743
321, 917
284, 78
594, 623
132, 716
400, 735
315, 707
194, 730
458, 489
337, 983
264, 946
547, 805
161, 978
8, 874
695, 835
195, 255
431, 97
279, 666
203, 929
350, 843
592, 621
923, 954
700, 894
197, 262
284, 451
761, 998
319, 547
542, 892
21, 951
695, 813
40, 633
47, 801
222, 45
108, 838
328, 724
728, 910
310, 892
428, 719
248, 277
170, 283
207, 352
713, 998
611, 737
238, 296
508, 741
736, 815
142, 48
445, 537
179, 691
605, 982
957, 996
708, 986
192, 207
641, 812
266, 987
876, 973
41, 686
51, 660
310, 658
602, 928
395, 545
63, 688
615, 865
335, 875
541, 886
419, 837
364, 488
300, 794
124, 926
181, 399
327, 438
279, 673
26, 925
448, 50
379, 659
478, 847
576, 898
440, 553
193, 929
513, 56
51, 957
68, 929
728, 828
270, 958
797, 910
337, 818
759, 968
113, 420
742, 90
405, 598
684, 773
360, 669
516, 736
485, 682
429, 676
170, 966
659, 850
189, 349
736, 810
43, 615
501, 596
278, 291
323, 789
947, 969
145, 636
220, 557
313, 779
190, 807
491, 524
48, 540
622, 883
231, 566
433, 448
776, 791
396, 447
159, 893
184, 800
145, 452
297, 779
319, 552
494, 820
111, 522
54, 951
428, 741
210, 342
243, 253
126, 36
480, 873
117, 648
152, 181
277, 52
614, 667
399, 411
540, 833
169, 377
319, 344
446, 669
267, 829
50, 770
704, 731
147, 714
203, 604
117, 546
544, 583
334, 869
653, 74
283, 666
47, 941
779, 917
117, 382
534, 579
